epoches:   0 | fidelity:0.398311 | time:2020-02-07 11:47:56 | duration:0.000000
epoches:  10 | fidelity:0.835241 | time:2020-02-07 11:47:57 | duration:0.000000
epoches:  20 | fidelity:0.979758 | time:2020-02-07 11:47:59 | duration:0.000000
epoches:  30 | fidelity:0.997797 | time:2020-02-07 11:48:01 | duration:0.000000
epoches:  40 | fidelity:0.999756 | time:2020-02-07 11:48:03 | duration:0.000000
epoches:  50 | fidelity:0.999974 | time:2020-02-07 11:48:05 | duration:0.000000
epoches:   0 | fidelity:0.454406 | time:2020-02-07 11:48:43 | duration:0.000000
epoches:   0 | fidelity:0.396321 | time:2020-02-07 11:49:41 | duration:0.000000
epoches:  10 | fidelity:0.389208 | time:2020-02-07 11:50:28 | duration:0.010000
epoches:  20 | fidelity:0.111343 | time:2020-02-07 11:51:16 | duration:0.030000
epoches:  30 | fidelity:0.075869 | time:2020-02-07 11:52:03 | duration:0.040000
epoches:  40 | fidelity:0.057854 | time:2020-02-07 11:52:46 | duration:0.050000
epoches:   0 | fidelity:0.066441 | time:2020-02-07 11:53:14 | duration:0.000000
epoches:  10 | fidelity:0.466134 | time:2020-02-07 11:53:59 | duration:0.010000
epoches:  20 | fidelity:0.504975 | time:2020-02-07 11:54:47 | duration:0.030000
epoches:   0 | fidelity:0.055242 | time:2020-02-07 12:00:50 | duration:0.000000
epoches:   0 | fidelity:0.395949 | time:2020-02-07 12:25:13 | duration:0.000000
epoches:  10 | fidelity:0.493925 | time:2020-02-07 12:25:59 | duration:0.010000
epoches:  20 | fidelity:0.522511 | time:2020-02-07 12:26:43 | duration:0.030000
epoches:  30 | fidelity:0.628850 | time:2020-02-07 12:27:27 | duration:0.040000
epoches:   0 | fidelity:0.109499 | time:2020-02-07 12:36:51 | duration:0.000000
epoches:   0 | fidelity:0.234858 | time:2020-02-07 12:52:50 | duration:0.000000
epoches:  10 | fidelity:0.226256 | time:2020-02-07 12:52:52 | duration:0.000000
epoches:  20 | fidelity:0.389296 | time:2020-02-07 12:52:54 | duration:0.000000
epoches:  30 | fidelity:0.804308 | time:2020-02-07 12:52:56 | duration:0.000000
epoches:  40 | fidelity:0.978254 | time:2020-02-07 12:52:58 | duration:0.000000
epoches:  50 | fidelity:0.998775 | time:2020-02-07 12:53:00 | duration:0.000000
epoches:  60 | fidelity:0.999850 | time:2020-02-07 12:53:02 | duration:0.000000
epoches:  70 | fidelity:0.999815 | time:2020-02-07 12:53:04 | duration:0.000000
epoches:  80 | fidelity:0.999847 | time:2020-02-07 12:53:06 | duration:0.000000
epoches:  90 | fidelity:0.999899 | time:2020-02-07 12:53:08 | duration:0.010000
epoches:   0 | fidelity:0.578449 | time:2020-02-07 13:01:10 | duration:0.000000
epoches:   0 | fidelity:0.126862 | time:2020-02-07 13:01:51 | duration:0.000000
epoches:   0 | fidelity:0.439124 | time:2020-02-07 13:02:18 | duration:0.000000
