epoches:   0 | fidelity:0.055246 | time:2020-02-07 18:31:37 | duration:0.000000
epoches:  10 | fidelity:0.752252 | time:2020-02-07 18:32:58 | duration:0.020000
epoches:  20 | fidelity:0.731492 | time:2020-02-07 18:34:23 | duration:0.050000
epoches:  30 | fidelity:0.816503 | time:2020-02-07 18:35:47 | duration:0.070000
epoches:  40 | fidelity:0.629428 | time:2020-02-07 18:37:07 | duration:0.090000
epoches:  50 | fidelity:0.844526 | time:2020-02-07 18:38:09 | duration:0.110000
epoches:  60 | fidelity:0.766943 | time:2020-02-07 18:39:20 | duration:0.130000
epoches:  70 | fidelity:0.845658 | time:2020-02-07 18:40:48 | duration:0.150000
epoches:  80 | fidelity:0.873389 | time:2020-02-07 18:42:53 | duration:0.190000
epoches:  90 | fidelity:0.880918 | time:2020-02-07 18:44:54 | duration:0.220000
epoches:   0 | fidelity:0.887221 | time:2020-02-07 18:46:36 | duration:0.000000
epoches:   0 | fidelity:0.025670 | time:2020-02-07 18:47:18 | duration:0.010000
epoches:   0 | fidelity:0.549961 | time:2020-02-07 18:47:39 | duration:0.010000
epoches:   0 | fidelity:0.217525 | time:2020-02-07 18:48:42 | duration:0.010000
epoches:  10 | fidelity:0.892818 | time:2020-02-07 18:52:55 | duration:0.110000
epoches:  10 | fidelity:0.336514 | time:2020-02-07 18:56:51 | duration:0.170000
epoches:  10 | fidelity:0.805808 | time:2020-02-07 18:57:14 | duration:0.170000
epoches:  10 | fidelity:0.385763 | time:2020-02-07 18:58:50 | duration:0.180000
epoches:  20 | fidelity:0.898003 | time:2020-02-07 19:02:11 | duration:0.260000
epoches:  20 | fidelity:0.786245 | time:2020-02-07 19:03:59 | duration:0.280000
epoches:  20 | fidelity:0.877166 | time:2020-02-07 19:04:02 | duration:0.280000
epoches:  20 | fidelity:0.513850 | time:2020-02-07 19:05:04 | duration:0.290000
epoches:  30 | fidelity:0.902876 | time:2020-02-07 19:08:48 | duration:0.370000
epoches:  30 | fidelity:0.932365 | time:2020-02-07 19:10:30 | duration:0.390000
epoches:  30 | fidelity:0.847586 | time:2020-02-07 19:10:39 | duration:0.400000
epoches:  30 | fidelity:0.556038 | time:2020-02-07 19:11:55 | duration:0.400000
epoches:  40 | fidelity:0.907477 | time:2020-02-07 19:16:33 | duration:0.500000
epoches:  40 | fidelity:0.938931 | time:2020-02-07 19:17:35 | duration:0.510000
epoches:  40 | fidelity:0.839251 | time:2020-02-07 19:17:53 | duration:0.520000
epoches:  40 | fidelity:0.571547 | time:2020-02-07 19:18:40 | duration:0.510000
epoches:  50 | fidelity:0.911825 | time:2020-02-07 19:23:09 | duration:0.610000
epoches:  50 | fidelity:0.945221 | time:2020-02-07 19:23:36 | duration:0.610000
epoches:  50 | fidelity:0.771213 | time:2020-02-07 19:24:03 | duration:0.620000
epoches:  50 | fidelity:0.581473 | time:2020-02-07 19:24:40 | duration:0.610000
epoches:  60 | fidelity:0.949986 | time:2020-02-07 19:29:37 | duration:0.710000
epoches:  60 | fidelity:0.915940 | time:2020-02-07 19:29:39 | duration:0.720000
epoches:  60 | fidelity:0.645194 | time:2020-02-07 19:30:12 | duration:0.720000
epoches:  60 | fidelity:0.590120 | time:2020-02-07 19:30:39 | duration:0.710000
epoches:  70 | fidelity:0.954185 | time:2020-02-07 19:35:36 | duration:0.810000
epoches:  70 | fidelity:0.919833 | time:2020-02-07 19:36:08 | duration:0.830000
epoches:  70 | fidelity:0.536519 | time:2020-02-07 19:36:21 | duration:0.820000
epoches:  70 | fidelity:0.598384 | time:2020-02-07 19:36:37 | duration:0.810000
