epoches:   0 | fidelity:0.158651 | time:2020-02-03 16:36:24 | duration:0.000000
epoches:  10 | fidelity:0.335569 | time:2020-02-03 16:36:26 | duration:0.000000
epoches:  20 | fidelity:0.501525 | time:2020-02-03 16:36:27 | duration:0.000000
epoches:  30 | fidelity:0.639096 | time:2020-02-03 16:36:28 | duration:0.000000
epoches:  40 | fidelity:0.747557 | time:2020-02-03 16:36:29 | duration:0.000000
epoches:   0 | fidelity:0.880217 | time:2020-02-03 16:36:31 | duration:0.000000
epoches:  10 | fidelity:0.847433 | time:2020-02-03 16:36:32 | duration:0.000000
epoches:  20 | fidelity:0.875336 | time:2020-02-03 16:36:33 | duration:0.000000
epoches:  30 | fidelity:0.919824 | time:2020-02-03 16:36:34 | duration:0.000000
epoches:  40 | fidelity:0.944576 | time:2020-02-03 16:36:36 | duration:0.000000
epoches:   0 | fidelity:0.954530 | time:2020-02-03 16:36:37 | duration:0.000000
epoches:  10 | fidelity:0.956730 | time:2020-02-03 16:36:38 | duration:0.000000
epoches:  20 | fidelity:0.955617 | time:2020-02-03 16:36:39 | duration:0.000000
epoches:  30 | fidelity:0.953441 | time:2020-02-03 16:36:41 | duration:0.000000
epoches:  40 | fidelity:0.951157 | time:2020-02-03 16:36:42 | duration:0.000000
epoches:   0 | fidelity:0.510236 | time:2020-02-03 16:36:57 | duration:0.000000
epoches:  10 | fidelity:0.811951 | time:2020-02-03 16:36:59 | duration:0.000000
epoches:  20 | fidelity:0.883066 | time:2020-02-03 16:37:00 | duration:0.000000
epoches:  30 | fidelity:0.934691 | time:2020-02-03 16:37:01 | duration:0.000000
epoches:  40 | fidelity:0.972993 | time:2020-02-03 16:37:02 | duration:0.000000
epoches:  50 | fidelity:0.988844 | time:2020-02-03 16:37:03 | duration:0.000000
epoches:  60 | fidelity:0.995071 | time:2020-02-03 16:37:04 | duration:0.000000
epoches:  70 | fidelity:0.997393 | time:2020-02-03 16:37:06 | duration:0.000000
epoches:  80 | fidelity:0.998272 | time:2020-02-03 16:37:07 | duration:0.000000
epoches:  90 | fidelity:0.998667 | time:2020-02-03 16:37:08 | duration:0.000000
epoches:   0 | fidelity:0.000038 | time:2020-02-03 18:19:50 | duration:0.000000
epoches:   0 | fidelity:0.051074 | time:2020-02-03 18:42:17 | duration:0.000000
epoches:  10 | fidelity:0.100490 | time:2020-02-03 18:42:34 | duration:0.010000
epoches:  20 | fidelity:0.133227 | time:2020-02-03 18:42:53 | duration:0.010000
epoches:  30 | fidelity:0.157950 | time:2020-02-03 18:43:11 | duration:0.020000
epoches:  40 | fidelity:0.188901 | time:2020-02-03 18:43:29 | duration:0.020000
epoches:  50 | fidelity:0.225477 | time:2020-02-03 18:43:47 | duration:0.030000
epoches:  60 | fidelity:0.262874 | time:2020-02-03 18:44:05 | duration:0.030000
epoches:  70 | fidelity:0.298309 | time:2020-02-03 18:44:23 | duration:0.040000
epoches:  80 | fidelity:0.332324 | time:2020-02-03 18:44:40 | duration:0.040000
epoches:  90 | fidelity:0.366928 | time:2020-02-03 18:44:58 | duration:0.040000
